indicadores_1_2_17,decil_i,decil_ii,decil_iii,decil_iv,decil_v,decil_vi,decil_vii,decil_viii,decil_ix,decil_x,anio
ingreso_corriente_total_per_capita ,640.85,1206.15,1624.07,2031.05,2462.51,2970.93,3638.74,4621.78,6429.93,17158.65,2016
total_ingreso_corriente_monetario,603.49,1135.62,1530.29,1909.95,2315.13,2788.16,3414.76,4334.27,6061.62,16393.29,2016
remuneraciones_por_trabajo_subordinado ,241.85,650.18,987.96,1269.88,1605.62,1956.64,2443.04,3054.15,4311.76,9281.95,2016
ingreso_por_trabajo_independiente,120.69,174.56,190.27,222.31,255.51,302.02,330.34,410.78,522.18,1006.85,2016
ingreso_por_renta_de_la_propiedad ,7.01,17.51,26.64,31.71,49.37,63.14,88.61,152.11,270.1,3597.42,2016
otros_ingresos_provenientes_del_trabajo,35.8,62.32,78.08,91.18,86.4,105.94,128.87,144.65,154.91,299.46,2016
transferencias ,198.15,231.05,247.34,294.87,318.23,360.42,423.91,572.58,802.67,2207.61,2016
ingreso_corriente_no_monetario,37.36,70.53,93.79,121.1,147.37,182.77,223.98,287.51,368.31,765.36,2016
pago_en_especie,2.68,9.81,17.07,25.94,36.29,49.64,73.98,97.49,128.04,275.23,2016
transferencias_en_especie ,34.68,60.72,76.71,95.16,111.09,133.12,150,190.02,240.27,490.12,2016
ingreso_corriente_total_per_capita ,671.9,1260.92,1695.67,2104.21,2547.62,3061.25,3713.61,4673.6,6418.43,15355.84,2018
total_ingreso_corriente_monetario,632.5,1189.13,1597.7,1981.62,2395.81,2886.6,3497.18,4389.26,6070.25,14599.56,2018
remuneraciones_por_trabajo_subordinado ,259.06,678.61,1055.7,1345.86,1673.54,2081.93,2499.41,3121.42,4245.21,9098.44,2018
ingreso_por_trabajo_independiente,137.92,198.11,202.5,242.65,285.72,285.44,350.41,445.69,549.23,1015.06,2018
ingreso_por_renta_de_la_propiedad ,6.46,15.72,25.19,32.98,48.41,58.81,95.21,168.39,298.48,2095,2018
otros_ingresos_provenientes_del_trabajo,35.14,61.32,65.76,84.59,88.98,112.86,126.72,145.96,175.16,282.17,2018
transferencias ,193.91,235.38,248.56,275.53,299.15,347.56,425.43,507.8,802.16,2108.89,2018
ingreso_corriente_no_monetario,39.4,71.79,97.97,122.58,151.81,174.65,216.42,284.34,348.18,756.28,2018
pago_en_especie,3.95,11.32,18.19,32.59,42.98,53.32,75.46,106.33,146.73,298.77,2018
transferencias_en_especie ,35.46,60.47,79.78,89.99,108.83,121.33,140.97,178.02,201.46,457.51,2018
